,tweet_id,prediction_raw,prediction_class
0,887831325113278466,0.6663667,1.0
1,1027215357826584576,0.35578296,0.0
2,677572636344516608,0.526792,1.0
3,32586949248155648,0.5187937,1.0
4,1058366556051128320,0.17646077,0.0
5,1068054097859932160,0.2792254,0.0
6,1017192847932522497,0.13154237,0.0
7,1000391934266011648,0.12821175,0.0
8,1052704948457230339,0.60945994,1.0
9,1058127791848415242,0.2791686,0.0
10,1049997090888306688,0.33335593,0.0
11,824344627205591044,0.17804919,0.0
12,1008731305855602688,0.3815184,0.0
13,1075375054471467008,0.44651455,0.0
14,1013970433530646528,0.80167556,1.0
15,1009497269505265665,0.4914247,0.0
16,968099752666632192,0.97690624,1.0
17,879414858449604608,0.19638029,0.0
18,757661003127533568,0.8852145,1.0
19,467424310701723648,0.7899846,1.0
20,1052378154592022528,0.10276322,0.0
21,336638151042940928,0.47562334,0.0
22,851492048628834305,0.3284029,0.0
23,888993443124346880,0.9220646,1.0
24,996365337326043136,0.68506235,1.0
25,992143104911212545,0.7538182,1.0
26,1075123057998659584,0.44651455,0.0
27,972642769121480704,0.40883297,0.0
28,997132531773292545,0.08775971,0.0
29,771931178089807873,0.95154923,1.0
30,861680339428704257,0.23198633,0.0
31,995527010012233729,0.5127832,1.0
32,1075105429028450305,0.44651455,0.0
33,857391848633114629,0.93787384,1.0
34,1050410763930595328,0.2041709,0.0
35,867098391800676359,0.12644812,0.0
36,664300346135609344,0.70318013,1.0
37,965553629280206854,0.6791155,1.0
38,218781014917525505,0.9180394,1.0
39,223178057937203201,0.53196347,1.0
40,939970600755449856,0.65311384,1.0
41,595653551575199747,0.97788805,1.0
42,925724614176755714,0.71165514,1.0
43,364808331124154368,0.19616957,0.0
44,676894687182106625,0.38626733,0.0
45,1067090645804818432,0.060694996,0.0
46,960652704275103744,0.4456294,0.0
47,492439604801204224,0.7855258,1.0
48,1008345812676562949,0.09810839,0.0
49,841641243012681728,0.24328566,0.0
50,888490905769959424,0.6705577,1.0
51,926129369482911745,0.5271609,1.0
